Trajectory_ID,Success,P_FP0_X,P_FP0_Y,P_V0,P_A0,I_FP0_X,I_FP0_Y,I_V0,I_A0,P_FP1_X,P_FP1_Y,P_V1,P_A1,I_FP1_X,I_FP1_Y,I_V1,I_A1,P_FP2_X,P_FP2_Y,P_V2,P_A2,I_FP2_X,I_FP2_Y,I_V2,I_A2,P_FP3_X,P_FP3_Y,P_V3,P_A3,I_FP3_X,I_FP3_Y,I_V3,I_A3,P_FP4_X,P_FP4_Y,P_V4,P_A4,I_FP4_X,I_FP4_Y,I_V4,I_A4,P_FP5_X,P_FP5_Y,P_V5,P_A5,I_FP5_X,I_FP5_Y,I_V5,I_A5
1,0,0.0,0.0,2899.2767101058957,32.947521625274355,400000.0,0.0,2999.584523016044,148.23234989325806,155485.98947567542,80940.90757621791,2614.1510766108736,21.456228417920432,359387.1532380682,23917.887774377406,2921.1262285410103,150.81212160103408,312542.5445016103,122024.55005808607,2454.325677613862,7.561500240556333,318364.0757007633,45551.597552702144,2847.5034738852596,153.58528123254496,469599.09952754504,122228.94628933919,2452.6911798430615,-7.268205321884844,277340.9981634585,64646.842183231405,2780.895235478483,156.49839949764598,626655.6545534799,81554.09626997716,2609.5448505442287,-21.197416821661957,236317.92062615362,81203.62166596521,2721.8165393398544,159.54616275994218,783712.2095794146,5.820766091346741e-11,2899.2767101057675,-32.94752162527395,195294.8430888488,95221.93600090354,2670.7671038750336,162.71972557792597
2,0,0.0,0.0,2603.778724993632,63.95468648067462,400000.0,0.0,2998.98133335823,128.63105041684562,108395.92601462895,178151.97075698507,1821.9847595286276,51.13503157157237,350728.2461555921,58290.40851594287,2803.887180663631,131.8930273202076,217886.76037284,268577.592277576,1239.6173398881638,22.738566718277973,300958.79782790726,110272.30575689641,2615.5723030426784,135.71025909368188,327377.59473105107,269027.47099160874,1232.4763318671721,-21.932914732839336,251189.3495002225,155322.2399021707,2440.6267102801635,140.09668398551173,436868.4290892621,179501.60689908336,1807.3928022814457,-50.76126092420721,201419.90117253773,193440.21095176568,2282.1271045584535,145.12556117707314,546359.2634474732,-2.3283064365386963e-10,2603.778724993869,-63.95468648067524,151650.452844853,224626.21890568145,2143.724473836374,150.8531156124712
3,0,0.0,0.0,898.2744326916064,77.97660414754155,400000.0,0.0,2999.622588037695,162.95922781135837,6662.910205374753,25127.477329825506,564.6907652510438,70.64816366634459,325501.97197742324,19558.02072525789,2935.6231618080396,167.67171453952386,13393.122534036118,37881.57567147935,259.60604501947313,43.880549884621765,250251.43862128508,32593.51475147444,2891.619684968104,172.66065902665162,20123.334862697488,37945.028897059725,254.76537056454552,-42.73655505597515,175000.90526514695,38875.157055135256,2870.1142882544164,177.7637722506559,26853.54719135885,25317.83700656661,558.0375853331464,-70.40807175116133,99750.37190900877,38402.94763624035,2871.612477962238,-177.09746461440383,33583.75952002022,0.0,898.2744326916418,-77.9766041475416,24499.83855287067,31176.886494789753,2896.078553894846,-172.00489438583705
4,0,0.0,0.0,2955.5216578135028,49.943395046270005,400000.0,0.0,2999.231863640685,130.9370710516302,174384.15886583904,166591.54133858363,2345.122095605639,35.801467906511036,359672.4101597769,44449.9338144773,2851.6825277612916,133.56144332738762,350529.7738818381,251149.3691392284,1957.6310194237726,13.690871685384447,318937.4709272284,85154.94816468171,2707.960001125415,136.52770398837956,526675.388897837,251570.0548496794,1953.4102234124211,-13.173056133754468,278202.53169467987,121644.97890210005,2572.29459330284,139.81647981129396,702821.0039138361,167853.59846993664,2334.5394666749967,-35.43978358996086,237467.59246213132,153920.0260267323,2446.0273016171573,143.4578858855585,878966.618929835,-1.1641532182693481e-10,2955.5216578136346,-49.943395046273814,196732.65322958282,181980.08953857847,2330.686084452891,147.47736628609155
5,0,0.0,0.0,1537.6045108508656,20.96157492623378,400000.0,0.0,2999.8353835187413,169.4301280192153,32010.26044438814,9849.76972883158,1474.085206147457,13.078867294239412,346628.20417747763,8368.752932454905,2972.621053943209,172.76210644524826,64343.856852861005,14849.274060890028,1440.2600142576432,4.486531956723755,292717.29930624284,13559.803853859848,2955.3859101415183,176.21336243737514,96677.45326133388,14874.147216770922,1439.9211388241895,-4.311266344260681,238806.39443500811,15472.226766266249,2948.976518542149,179.69232410199194,129011.04966980673,9924.389196474243,1473.0916899746555,-12.911479456582628,184895.48956377336,14106.021669674115,2953.463359769573,-176.82644682113533,161344.6460782796,0.0,1537.604510850848,-20.961574926234984,130984.5846925386,9461.188564083444,2968.7970307222745,-173.36848775031774
6,0,0.0,0.0,2650.698589867667,51.944225350507786,400000.0,0.0,2999.2758795053055,135.81728551254042,138220.22549855756,141814.68619376284,2066.858476906344,37.76258118894295,354901.77272565017,41694.97288702559,2861.0948287106453,138.74266379019394,277836.6148910399,213796.38297393036,1688.963232176457,14.661732685722589,309348.0078020645,79432.63035943921,2728.5562285320266,142.0242833186576,417453.00428352226,214154.500868359,1684.7979859516624,-14.110167665414497,263794.24287847884,112769.8086791843,2605.86107968614,145.62772989942582,557069.3936760046,142889.03987704893,2056.6347086994588,-37.39335445163026,218240.47795489317,141706.50784626088,2494.4623152011904,149.5698550873168,696685.783068487,-1.1641532182693481e-10,2650.6985898676758,-51.9442253505063,172686.71303130747,166242.727860669,2395.9361256661496,153.85799797663998
7,0,0.0,0.0,883.0837591686663,45.942564832747465,400000.0,0.0,2999.7651589050106,167.7831395820269,15794.487211688287,13110.757754293156,724.7083360757717,32.07593729592052,334384.5669931102,11774.769527464836,2961.4022988586617,171.89631229986688,31748.514698242114,19765.46055382074,627.6840964996792,11.95147453092198,268106.3518346356,18680.140199609603,2938.354707701167,176.1814596774206,47702.542184795944,19798.568527947747,626.6483608004281,-11.495509515214652,201828.136676161,20572.107935820637,2931.9475040417396,-179.4902620302157,63656.56967134977,13210.081676674148,722.0143361897343,-31.73318096602044,135549.9215176864,17450.672736097942,2942.28939947231,-175.16778291099118,79610.59715790361,0.0,883.0837591686857,-45.94256483274229,69271.70635921182,9315.834600441514,2969.2053852237627,-170.89964387884035
8,0,0.0,0.0,2475.4281389657767,57.94832523142512,400000.0,0.0,2999.202348229702,135.52666772009547,111706.61250852309,143300.96121811494,1828.819088134633,44.08438629716508,350825.49558651267,45715.27666677857,2847.339272737209,138.7322292481095,224541.5746383444,216037.05516973394,1382.1711842367597,18.114084663960586,301154.2790072325,86634.46469881905,2702.58914320443,142.36274101269478,337376.5367681657,216398.926283921,1377.0248218582537,-17.44762861662262,251483.06242795233,122269.37222219649,2569.885756884828,146.3858288779577,450211.498897987,144386.57456067624,1817.1350498969439,-43.70269647125133,201811.84584867215,152619.99923691095,2451.186470567456,150.82232732876963,563046.4610278083,-2.3283064365386963e-10,2475.4281389658413,-57.948325231428,152140.629269392,177686.3457429623,2348.6155511547095,155.6777616916559
9,0,0.0,0.0,2982.2856026167497,51.94422535050778,400000.0,0.0,2999.166449341803,128.353530533579,174964.26910303265,179514.27027751878,2325.410479292513,37.76258118894295,360077.6612397318,48219.065683784116,2838.7492781594715,130.96341382514967,351695.85405559087,270631.3620092897,1900.2427322075575,14.661732685723406,319752.06653239025,92342.16800952065,2681.855764695907,133.94196864862278,528427.4390081491,271084.6808736269,1895.556437849079,-14.110167665411424,279426.4718250487,131859.215433166,2533.0957380636733,137.28031315762524,705159.0239607074,180874.22687053028,2313.90777700706,-37.39335445162367,239100.87711770713,166770.20795472022,2393.985900321248,141.0206243361596,881890.6089132655,0.0,2982.2856026167847,-51.94422535050831,198775.28241036556,197075.14557418315,2266.3039868599385,145.20199086095906
10,0,0.0,0.0,1534.075853517981,76.97478487647673,400000.0,0.0,2999.33378577239,150.0748612589722,20943.793062011402,72719.4664241301,970.0744657904515,69.11976561996198,329957.5260351576,36791.87968353829,2877.7487660834217,154.59463650914734,42099.13958929565,109630.10468486282,461.7952224577368,41.52141681794523,259207.55233329654,66724.70759546109,2773.705640871471,159.58294684562568,63254.486116579894,109813.73970108535,453.9261938336177,-40.38683588097333,188457.57863143552,89390.5134772994,2692.2159972667914,164.91598799575428,84409.83264386414,73270.37147279776,958.8675378116103,-68.86409576150015,117707.60492957447,104789.29732905328,2635.3728278759163,170.52984131300124,105565.1791711484,-5.820766091346741e-11,1534.075853518008,-76.97478487647723,46957.63122771343,112921.05915072263,2604.790179669904,176.33275135194043
11,0,0.0,0.0,2306.603316512722,76.97478487647673,400000.0,0.0,2998.820715702358,131.37834942801723,47348.63834817449,164400.3885253094,1458.5830126491521,69.11976561996185,337129.2168238479,66483.13031449642,2775.1941221830198,135.5854010658904,95175.54577057298,247846.0402767922,694.3453214702793,41.5214168179449,273623.3752317751,123619.87178469909,2565.0910023194547,140.60611078838107,143002.45319297144,248261.19277306815,682.5136200060863,-40.386835880961286,210117.53363970222,170688.33625475378,2378.070831431276,146.46797359884587,190829.36061536992,165645.84601413738,1441.7325178157155,-68.86409576150191,146611.69204762942,207688.5237246604,2219.9751131872345,153.24510009789026,238656.26803776837,-2.3283064365386963e-10,2306.6033165127833,-76.97478487647653,83105.85045555659,234620.43419441907,2097.354934621273,160.93445187668607
12,0,0.0,0.0,1533.0340218414965,78.97845200127873,400000.0,0.0,2999.31565686727,149.85078664040157,17874.071467003123,73710.72236257412,958.4346948786658,72.19412119696524,328698.5966109877,37744.143188561735,2874.514658702141,154.45718881557025,35928.689110440624,111124.49810721402,425.3078332137405,46.44053610511631,256676.97702612684,68342.536117996,2767.986984101127,159.5516510951979,53983.30675387812,111310.63629499829,416.6325605425656,-45.29506992211357,184655.35744126592,91376.10067483825,2684.9751019116275,165.00679939818463,72037.92439731563,74269.13692592696,946.9344628226481,-71.97049195873691,112633.73785640503,106844.83685908843,2627.7086186043484,170.75412251295273,90092.54204075312,5.820766091346741e-11,1533.0340218413905,-78.97845200127787,40612.11827154411,114748.7446707466,2597.890644996274,176.6947848795872
13,0,0.0,0.0,1692.1850481033987,46.942667813351314,400000.0,0.0,2999.5824616424816,155.62598560757803,57893.958228834555,49766.46838002259,1377.2926111021868,32.9839223979826,344225.2445528281,23246.711460073016,2923.3545014059337,159.16721811925376,116372.70391452604,75026.72126988255,1182.735419525714,12.363779214462074,287887.1077375029,42578.107635892324,2857.6756943791274,162.96051650877507,174851.4496002175,75152.39416983207,1180.6488334837397,-11.893001142636919,231548.97092217774,57738.518332789856,2805.076459331658,166.91401117992132,233330.19528590897,50143.487079871265,1371.9113392689508,-32.63600985209674,175210.83410685256,68727.9435507656,2766.3029924873126,170.998310307462,291808.9409716005,5.820766091346741e-11,1692.1850481033168,-46.94266781334827,118872.69729152741,75546.38328981955,2741.941882113423,175.1768176459606
14,0,0.0,0.0,2129.735172324945,86.9939869409417,400000.0,0.0,2998.7439493011852,134.75969413558525,9626.957120026518,147249.1260073137,1294.5756646454581,85.0508573268607,324627.9470246744,69820.24481926307,2763.4089768221484,139.8269708593869,19351.15623116442,221989.2126928442,449.7000398518789,75.61985156407819,248494.56018091115,127656.0284075441,2549.5960429905263,145.91206066275552,29075.355342302315,222361.05392013548,433.1732633527847,-75.05867716150688,172361.17333714795,172738.32834843174,2369.53036292996,153.01348786644866,38799.554453440214,148364.6496891873,1277.557435975329,-84.98476246464743,96227.78649338469,205067.14464192605,2231.3967931371553,161.13398549924767,48523.75356457811,1.1641532182693481e-10,2129.7351723248394,-86.99398694094155,20094.399649621453,224642.47728802692,2143.3181063857614,170.11829190327973
15,0,0.0,0.0,1955.0793859577855,28.951290117630116,400000.0,0.0,2999.7273746211417,161.5886520634803,65618.126434483,29156.490117840596,1804.4565263558752,18.545244027816597,350433.9671554873,15026.76877478315,2950.6807945027354,164.70594019712516,131899.06222689003,43955.61767765362,1721.702616954751,6.464366512547917,300367.2673125451,27184.921029843164,2909.927217888877,167.98518150771983,198179.99801929714,44029.24517795119,1720.8633757848029,-6.212884382651434,250300.56746960297,36307.493322186856,2878.957060228336,171.34621156554442,264460.93381170416,29377.372618733338,1802.0532528683686,-18.31610588940445,200233.8676266608,42394.4856518142,2858.088377698797,174.76827455608438,330741.86960411124,0.0,1955.0793859577234,-28.95129011763385,150167.1677837186,45445.89801872521,2847.543269856609,178.2281350788028
16,0,0.0,0.0,801.2248407804964,43.94256885358382,400000.0,0.0,2999.7930443276396,169.31867761614288,13000.191120813912,10063.437784141555,668.2147757690634,30.303933159847716,333630.3394447597,10056.950154055012,2967.0581476336883,173.47122921489597,26131.697303454224,15171.394841243706,588.0427463173278,11.166362514465558,266590.27827785024,15167.012877600091,2950.029978984409,177.7802941386195,39263.20348609454,15196.807562920825,587.1942406885798,-10.73884931973431,199550.21711094087,15203.233605565882,2949.825161314056,-177.88541923418515,52394.70966873485,10139.675949172924,665.9725226766328,-29.97221731364859,132510.1559440315,10165.61233795237,2966.4471793193197,-173.57516531711534,65526.21585137518,7.275957614183426e-12,801.2248407804975,-43.94256885358057,65470.09477712202,54.14907475957443,2999.6163143003964,-169.3365899675027
